target_time_utc,target_time_local,turbine,p10,p50,p90,issue_date,horizon_h
2026-01-31T19:00:00Z,2026-02-01T00:00+05:00,1,0.0000,0.0100,0.0102,2026-01-31,1
2026-01-31T19:00:00Z,2026-02-01T00:00+05:00,2,0.0000,0.0088,0.0102,2026-01-31,1
2026-01-31T19:00:00Z,2026-02-01T00:00+05:00,plant,0.0000,0.0092,0.0102,2026-01-31,1
2026-01-31T20:00:00Z,2026-02-01T01:00+05:00,1,0.0091,0.0100,0.0262,2026-01-31,2
2026-01-31T20:00:00Z,2026-02-01T01:00+05:00,2,0.0083,0.0091,0.0288,2026-01-31,2
2026-01-31T20:00:00Z,2026-02-01T01:00+05:00,plant,0.0089,0.0091,0.0288,2026-01-31,2
2026-01-31T21:00:00Z,2026-02-01T02:00+05:00,1,0.0093,0.0100,0.0486,2026-01-31,3
2026-01-31T21:00:00Z,2026-02-01T02:00+05:00,2,0.0084,0.0092,0.0557,2026-01-31,3
2026-01-31T21:00:00Z,2026-02-01T02:00+05:00,plant,0.0089,0.0092,0.0557,2026-01-31,3
2026-01-31T22:00:00Z,2026-02-01T03:00+05:00,1,0.0100,0.0116,0.0833,2026-01-31,4
2026-01-31T22:00:00Z,2026-02-01T03:00+05:00,2,0.0084,0.0115,0.0904,2026-01-31,4
2026-01-31T22:00:00Z,2026-02-01T03:00+05:00,plant,0.0089,0.0115,0.0904,2026-01-31,4
2026-01-31T23:00:00Z,2026-02-01T04:00+05:00,1,0.0000,0.0100,0.0104,2026-01-31,5
2026-01-31T23:00:00Z,2026-02-01T04:00+05:00,2,0.0059,0.0086,0.0103,2026-01-31,5
2026-01-31T23:00:00Z,2026-02-01T04:00+05:00,plant,0.0059,0.0091,0.0103,2026-01-31,5
2026-02-01T00:00:00Z,2026-02-01T05:00+05:00,1,0.0100,0.0121,0.1768,2026-01-31,6
2026-02-01T00:00:00Z,2026-02-01T05:00+05:00,2,0.0083,0.0116,0.1754,2026-01-31,6
2026-02-01T00:00:00Z,2026-02-01T05:00+05:00,plant,0.0089,0.0116,0.1754,2026-01-31,6
2026-02-01T01:00:00Z,2026-02-01T06:00+05:00,1,0.0100,0.0121,0.1305,2026-01-31,7
2026-02-01T01:00:00Z,2026-02-01T06:00+05:00,2,0.0083,0.0116,0.1291,2026-01-31,7
2026-02-01T01:00:00Z,2026-02-01T06:00+05:00,plant,0.0089,0.0116,0.1291,2026-01-31,7
2026-02-01T02:00:00Z,2026-02-01T07:00+05:00,1,0.0100,0.0181,0.2331,2026-01-31,8
2026-02-01T02:00:00Z,2026-02-01T07:00+05:00,2,0.0088,0.0176,0.2317,2026-01-31,8
2026-02-01T02:00:00Z,2026-02-01T07:00+05:00,plant,0.0091,0.0176,0.2317,2026-01-31,8
2026-02-01T03:00:00Z,2026-02-01T08:00+05:00,1,0.0119,0.1350,0.6239,2026-01-31,9
2026-02-01T03:00:00Z,2026-02-01T08:00+05:00,2,0.0100,0.1344,0.6235,2026-01-31,9
