turbine_id,forecast_origin,target_time,lead_hours,power_prediction
1,2026-01-31 19:00:00+00:00,2026-01-31 19:00:00+00:00,1,0.29271471004457533
1,2026-01-31 19:00:00+00:00,2026-01-31 20:00:00+00:00,2,0.3175289223980239
1,2026-01-31 19:00:00+00:00,2026-01-31 21:00:00+00:00,3,0.34488594756513713
1,2026-01-31 19:00:00+00:00,2026-01-31 22:00:00+00:00,4,0.35196819336871427
1,2026-01-31 19:00:00+00:00,2026-01-31 23:00:00+00:00,5,0.3618689251146876
1,2026-01-31 19:00:00+00:00,2026-02-01 00:00:00+00:00,6,0.3774159471554467
1,2026-01-31 19:00:00+00:00,2026-02-01 01:00:00+00:00,7,0.3789202921826088
1,2026-01-31 19:00:00+00:00,2026-02-01 02:00:00+00:00,8,0.3832146608007287
1,2026-01-31 19:00:00+00:00,2026-02-01 03:00:00+00:00,9,0.3822552286688511
1,2026-01-31 19:00:00+00:00,2026-02-01 04:00:00+00:00,10,0.38521235000601567
1,2026-01-31 19:00:00+00:00,2026-02-01 05:00:00+00:00,11,0.4024624914105396
1,2026-01-31 19:00:00+00:00,2026-02-01 06:00:00+00:00,12,0.4259370825414975
1,2026-01-31 19:00:00+00:00,2026-02-01 07:00:00+00:00,13,0.4336995303718051
1,2026-01-31 19:00:00+00:00,2026-02-01 08:00:00+00:00,14,0.4255074501989485
1,2026-01-31 19:00:00+00:00,2026-02-01 09:00:00+00:00,15,0.4203768389681239
1,2026-01-31 19:00:00+00:00,2026-02-01 10:00:00+00:00,16,0.4261532594193463
1,2026-01-31 19:00:00+00:00,2026-02-01 11:00:00+00:00,17,0.42461444432287543
1,2026-01-31 19:00:00+00:00,2026-02-01 12:00:00+00:00,18,0.4287717468833497
1,2026-01-31 19:00:00+00:00,2026-02-01 13:00:00+00:00,19,0.4320130069768254
1,2026-01-31 19:00:00+00:00,2026-02-01 14:00:00+00:00,20,0.43728867710545005
1,2026-01-31 19:00:00+00:00,2026-02-01 15:00:00+00:00,21,0.4322885499918881
1,2026-01-31 19:00:00+00:00,2026-02-01 16:00:00+00:00,22,0.43587140654546125
