turbine_id,forecast_origin,target_time,lead_hours,power_prediction
1,2026-01-31 19:00:00+00:00,2026-01-31 19:00:00+00:00,1,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-01-31 20:00:00+00:00,2,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-01-31 21:00:00+00:00,3,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-01-31 22:00:00+00:00,4,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-01-31 23:00:00+00:00,5,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 00:00:00+00:00,6,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 01:00:00+00:00,7,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 02:00:00+00:00,8,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 03:00:00+00:00,9,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 04:00:00+00:00,10,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 05:00:00+00:00,11,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 06:00:00+00:00,12,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 07:00:00+00:00,13,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 08:00:00+00:00,14,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 09:00:00+00:00,15,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 10:00:00+00:00,16,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 11:00:00+00:00,17,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 12:00:00+00:00,18,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 13:00:00+00:00,19,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 14:00:00+00:00,20,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 15:00:00+00:00,21,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 16:00:00+00:00,22,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 17:00:00+00:00,23,0.19999999999999998
1,2026-01-31 19:00:00+00:00,2026-02-01 18:00:00+00:00,24,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-01-31 19:00:00+00:00,1,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-01-31 20:00:00+00:00,2,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-01-31 21:00:00+00:00,3,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-01-31 22:00:00+00:00,4,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-01-31 23:00:00+00:00,5,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 00:00:00+00:00,6,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 01:00:00+00:00,7,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 02:00:00+00:00,8,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 03:00:00+00:00,9,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 04:00:00+00:00,10,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 05:00:00+00:00,11,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 06:00:00+00:00,12,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 07:00:00+00:00,13,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 08:00:00+00:00,14,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 09:00:00+00:00,15,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 10:00:00+00:00,16,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 11:00:00+00:00,17,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 12:00:00+00:00,18,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 13:00:00+00:00,19,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 14:00:00+00:00,20,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 15:00:00+00:00,21,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 16:00:00+00:00,22,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 17:00:00+00:00,23,0.19999999999999998
2,2026-01-31 19:00:00+00:00,2026-02-01 18:00:00+00:00,24,0.19999999999999998
